derived_id,startup_id,metric,value,unit,period_from,period_to,inputs,formula,value_type,notes
D0057,S0138,funding_to_revenue,11.76,x,FY25,FY25,"cumulative disclosed equity ₹73,535 Cr / FY25 revenue ₹6,253.0 Cr",cumFunding/revenue,DERIVED,INR rounds only (USD/mixed excluded to avoid fx assumptions)
D0058,S0148,revenue_cagr,2900.0,%/yr,FY25,FY26,FY25 ₹10.0 Cr → FY26 ₹300.0 Cr,((v2/v1)^(1/1))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0059,S0154,revenue_cagr,295.65,%/yr,FY24,FY25,FY24 ₹2.3 Cr → FY25 ₹9.1 Cr,((v2/v1)^(1/1))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0060,S0156,revenue_cagr,11.79,%/yr,FY24,FY25,FY24 ₹14.7 Cr → FY25 ₹16.4 Cr,((v2/v1)^(1/1))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0061,S0163,revenue_cagr,1983.33,%/yr,FY24,FY25,"FY24 ₹48.0 Cr → FY25 ₹1,000.0 Cr",((v2/v1)^(1/1))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0062,S0164,revenue_cagr,356.06,%/yr,FY24,FY25,FY24 ₹6.6 Cr → FY25 ₹30.1 Cr,((v2/v1)^(1/1))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0063,S0197,revenue_cagr,6.39,%/yr,FY24,FY25,FY24 ₹3.6 Cr → FY25 ₹3.8 Cr,((v2/v1)^(1/1))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0064,S0209,revenue_per_employee,1013993.1,INR/yr,FY25,FY25,"FY25 rev ₹1,000.0 Cr / Employees=9,862 (as_of 2026-05-01)",rev×1e7/headcount,DERIVED,PERIODS MAY NOT ALIGN (headcount is point-in-time) — indicative only
D0065,S0226,revenue_cagr,298.63,%/yr,FY24,FY25,"FY24 ₹7,300,000.0 Cr → FY25 ₹29,100,000.0 Cr",((v2/v1)^(1/1))-1 ×100,DERIVED,INR crore standalone-series; intermediate FYs may exist unlisted
D0066,S0226,funding_to_revenue,0.0,x,FY25,FY25,"cumulative disclosed equity ₹1,241 Cr / FY25 revenue ₹29,100,000.0 Cr",cumFunding/revenue,DERIVED,INR rounds only (USD/mixed excluded to avoid fx assumptions)
